node,conceptualized_node,node_type
Agent Mercer,"person, agent, character, role, title, occupation",entity
airborne device,"device, object, machine, technology, equipment",entity
Agent Alex Mercer,"person, character, agent, operative, protagonist, role, figure",entity
sterile briefing room,"room, location, setting, place, space, facility",entity
Rivera,"person, character, participant, student, individual",entity
his,"word, pronoun, term, reference, possessive",entity
this,"thing, object, concept, entity, item, element",entity
crew,"people, team, group, workers, staff, members, personnel, organization",entity
agent,"person, individual, participant, actor, operative, professional, worker",entity
Sam Rivera,"person, character, agent, operative, individual, name",entity
intercepted comm signals from Dulce,"signal, data, intelligence, communication, message, information",entity
Taylor Cruz,"person, actor, character, performer, artist",entity
drone,"aircraft, machine, vehicle, technology, device",entity
knowledge,"information, understanding, awareness, wisdom, concept",entity
mission dynamics,"analysis, discipline, field, practice, profession, expertise",entity
words 'counter-productive',"words, phrase, expression, term, language, communication",entity
heart of the enigma,"center, core, mystery, puzzle, essence, enigma, place, location",entity
doors,"entrance, access, barrier, opening, gateway, portal, passage",entity
duty,"obligation, responsibility, task, commitment, role",entity
Dr. Jordan Hayes,"person, character, scientist, doctor, researcher, expert, professional, individual",entity
their interactions,"conversation, dialogue, relationship, connection, communication, exchange",entity
gadgetry,"devices, equipment, technology, tools, hardware, instruments, apparatus",entity
unknown,"unknown, entity, concept, idea, mystery, abstraction",entity
transmission logs,"document, record, data, file, log, information",entity
artifacts,"objects, items, relics, antiquities, discoveries, materials, evidence, clues",entity
Team,"group, squad, unit, force, organization",entity
species,"humanity, civilization, mankind, population, life form",entity
their destinies,"destiny, fate, future, outcome, fortune",entity
translucent component,"object, part, element, piece, material",entity
team,"group, unit, organization, collective, squad",entity
Operation: Dulce,"operation, mission, conspiracy, project, plan",entity
briefing room,"room, location, place, space, facility, area",entity
Agent Alex Mercer and Dr. Jordan Hayes,"characters, people, scientists, professionals, duo, pair",entity
Dulce base,"base, facility, location, place, site, installation, secret",entity
base,"location, place, facility, installation, organization, military",entity
machinery,"equipment, technology, system, mechanism, tool, invention",entity
They,"group, people, individuals, crowd, collective",entity
"Agent Alex Mercer, Dr. Jordan Hayes, Taylor Cruz, Sam Rivera","person, character, agent, individual, participant, human, operative",entity
binders,"object, item, tool, accessory, stationery",entity
their binders,"object, item, thing, possession, supply, equipment",entity
Dulce,"person, character, name, entity, individual, fictional figure",entity
respect,"admiration, esteem, regard, consideration, value",entity
comms checks,"communication, procedure, routine, protocol, check, activity",entity
mainframe room,"room, place, location, facility, server room, infrastructure",entity
projectors,"device, equipment, technology, tool, machine",entity
signal inconsistencies,"issue, problem, anomaly, discrepancy, concern",entity
trust,"concept, idea, belief, value, principle, quality, feeling",entity
lights,"light, illumination, brightness, signal, indication, element, phenomenon",entity
humanity,"human race, people, civilization, species, society",entity
crash site,"location, place, site, area, scene",entity
technology,"skill, proficiency, expertise, ability, aptitude, competence",entity
himself,"person, individual, self, identity, being",entity
Agent Cruz,"person, character, police officer, federal agent, law enforcement",entity
last transmission logs,"record, documentation, communication, information, data, evidence, history, artifact",entity
he,"person, male, human, individual, character, protagonist",entity
his seat,"furniture, location, place, position, object, area",entity
steel doors,"doors, security, barrier, protection, material, entry, defense",entity
gravity,"force, phenomenon, concept, principle, law, interaction",entity
tech personnel,"personnel, staff, employee, worker, professional, expert, specialist, role, occupation",entity
Hayes,"person, character, american, individual, man, professor, academic",entity
file,"document, record, data, information, artifact, item",entity
Cruz,"person, character, individual, scientist, researcher, visionary, leader",entity
folder,"object, container, storage, organization, item",entity
we,"pronoun, people, group, collective, humanity",entity
Alex Mercer,"person, character, protagonist, human, individual, survivor",entity
panel,"instrument, component, interface, device, display, control, part",entity
Paranormal Military Squad,"organization, group, team, unit, squad, military",entity
they,"pronoun, word, term, reference, language unit",entity
electronic anomalies,"event, occurrence, phenomenon, signal, disturbance, issue",entity
understands,"comprehend, grasp, know, perceive, realize",relation
demanded attention from,"claimed, required focus, needed notice, sought attention, commanded interest",relation
mentored,"guided, advised, trained, coached, tutored",relation
because,"due to, since, as, owing to, for the reason that",relation
detected,"discovered, found, identified, observed, noticed",relation
scanned,"examined, inspected, scrutinized, browsed, surveyed",relation
showed respect for,"admire, honor, esteem, revere, venerate",relation
involves,"includes, entails, incorporates, concerns, relates to",relation
is participated by,"has participant, involves, includes, features, engages",relation
interrupted,"discontinue, break, pause, suspend, halt",relation
thumbed,"manipulate, handle, touch, flip through, browse",relation
commands,"orders, directs, controls, governs, leads",relation
affirms compliance with,"confirms, agrees to, asserts adherence to, verifies conformity with",relation
reached understanding with,"agree with, come to terms, see eye to eye, settle on, concord",relation
analyzed,"examine, study, investigate, evaluate, break down",relation
after,"following, subsequent, later, next, ensuing",relation
descends into,"decline into, sink into, devolve into, fall into, deteriorate into",relation
as a result,"therefore, consequently, thus, hence, accordingly",relation
offered supportive nod to,"acknowledge, agree, show approval, encourage, affirm",relation
ordered,"arranged, sorted, sequenced, ranked, organized",relation
led,"directed, guided, headed, commanded, spearheaded",relation
questions,"query, interrogate, ask, inquire, challenge",relation
explained,"clarified, accounted for, interpreted, described, justified",relation
identified,"determine, recognize, establish identity, pinpoint, ascertain",relation
reprimanded,"scold, rebuke, criticize, chastise, admonish",relation
combed through,"search, examine, inspect, scour, sift through",relation
understood,"comprehend, grasp, realize, interpret, recognize",relation
entered,"come into, go into, access, arrive in, walk in",relation
at the same time,"synchronously, concurrently, simultaneous, together, meanwhile",relation
mentors,"advises, guides, coaches, trains, counsels",relation
confides in,"trusts, shares secrets with, opens up to, relies on, discloses to",relation
directed,"steer, aim, guide, point, manage",relation
discussed implications with,"consult, talk about, converse with, debate, deliberate",relation
formed resolve within,"determine, decide, settle on, make up one's mind, reach a decision",relation
analyzes,"examine, study, evaluate, assess, investigate",relation
supports,"upholds, advocates for, backs, bolsters, champions",relation
examined,"inspect, analyze, study, check, scrutinize",relation
admired,"esteemed, revered, respected, held in high regard, looked up to",relation
contained,"include, hold, comprise, enclose, incorporate",relation
mentions,"refers to, cites, brings up, alludes to, touches on",relation
dismisses,"fires, sacks, lets go, discharges, terminates",relation
interfered with,"hinder, impede, disrupt, obstruct, meddle with",relation
scans,"examine, inspect, look over, survey, check",relation
decrypts,"decipher, decode, unscramble, crack, translate",relation
participated in,"join, take part, engage, attend, be involved",relation
before,"precede, prior to, earlier than, ahead of, preceding",relation
affirmed compliance to,"agree to, consent to, adhere to, obey, follow",relation
watched,"observe, view, monitor, look at, witness",relation
convenes,"assembles, gathers, summons, calls together, meets",relation
